Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Παραστατικά Εσόδων;Υπόλοιπο Παρ. Εσόδων ως προς Δ.Π.;Βεβαιωθέντα;Διαγραφές Παραγραφές;Τελικά Βεβαιωθέντα;Υπόλοιπο Βεβαιωθέντων    ως προς Δ.Π.;Εισπραχθέντα;Υπόλοιπο Εισπραχθέντων    ως προς Δ.Π.;Υπόλοιπο (Βεβαιωθέντα - Εισπραχθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.
06;Πιστωτικοί Λογ/σμοί Δημ.Λογιστικού;30.066.823,17;33.119,52;30.099.942,69;43.623.345,20;-13.523.402,51;10.063.321,97;0,00;10.063.321,97;20.036.620,72;10.075.189,79;20.024.752,90;-11.867,82;0,00;-43.623.345,20;30.099.942,69
06.00;ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;5.217.561,60;-2.017.284,71;3.200.276,89;-4.526.705,93;7.726.982,82;-4.501.705,93;0,00;-4.501.705,93;7.701.982,82;-4.501.705,93;7.701.982,82;0,00;0,00;4.526.705,93;3.200.276,89
06.00.071;ΥΠΗΡΕΣΙΕΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ - ΣΧΕΔΙΑΣΜΟΥ (Π.Δ.Ε.);0,00;0,00;0,00;-25.000,00;25.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25.000,00;0,00
06.00.071.9000;Έσοδα απο επιχορηγήσεις κλπ για επενδύσεις;0,00;0,00;0,00;-25.000,00;25.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25.000,00;0,00
06.00.071.9900;Επιχορηγήσεις ΕΕ για λοιπούς σκοπούς;0,00;0,00;0,00;-25.000,00;25.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25.000,00;0,00
06.00.071.9920;Επιχορηγήσεις από ΕΕ για λοιπούς σκοπούς;0,00;0,00;0,00;-25.000,00;25.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25.000,00;0,00
06.00.071.9929;Επιχορηγήσεις από ΕΕ για λοιπούς σκοπούς;0,00;0,00;0,00;-25.000,00;25.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25.000,00;0,00
06.00.071.9929.γ;Επιχορηγήσεις από ΕΕ για λοιπούς σκοπούς - Σ.Α.Ε.Π.;0,00;0,00;0,00;-25.000,00;25.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25.000,00;0,00
06.00.071.9929.γ.0;Επενδύσεις Ε.Ε. για λοιπούς σκοπούς Σ.Α.Ε.Π. - Γενικά;0,00;0,00;0,00;-25.000,00;25.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25.000,00;0,00
06.00.072α;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ;0,00;0,00;0,00;-2.741.774,57;2.741.774,57;-2.741.774,57;0,00;-2.741.774,57;2.741.774,57;-2.741.774,57;2.741.774,57;0,00;0,00;2.741.774,57;0,00
