Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Δεσμευθέντα;Υπόλοιπο Δεσμευθέντων ως προς Δ.Π.;Τιμολογηθέντα;Υπόλοιπο Τιμολογηθέντων ως προς Δ.Π.;Ενταλθέντα;Υπόλοιπο Ενταλθέντων    ως προς Δ.Π.;Πληρωθέντα;Υπόλοιπο Πληρωθέντων    ως προς Δ.Π.;Υπόλοιπο (Ενταλθέντα - Πληρωθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.;Υπόλοιπο Διαθέσεων ως προς Δεσμεύσεις
02;ΧΡΕΩΣΤΙΚΟΙ ΛΟΓΑΡΙΑΣΜΟΙ;30.066.823,17;33.119,52;30.099.942,69;14.062.007,83;16.037.934,86;41.672.242,97;-11.572.300,28;14.107.952,17;15.991.990,52;14.105.952,17;15.993.990,52;2.000,00;0,00;-41.672.242,97;30.099.942,69;14.062.007,83
02.00;ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;5.217.561,60;-2.017.284,71;3.200.276,89;1.059.959,11;2.140.317,78;1.057.959,11;2.142.317,78;1.059.959,11;2.140.317,78;1.057.959,11;2.142.317,78;2.000,00;0,00;-1.057.959,11;3.200.276,89;1.059.959,11
02.00.072δ;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΝΟΜΑΡΧΙΑΚΟ ΠΡΟΓΡΑΜΜΑ ΕΡΓΩΝ ΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΑΠΟ Κ.Α.Π.;5.217.561,60;-2.017.284,71;3.200.276,89;1.059.959,11;2.140.317,78;1.057.959,11;2.142.317,78;1.059.959,11;2.140.317,78;1.057.959,11;2.142.317,78;2.000,00;0,00;-1.057.959,11;3.200.276,89;1.059.959,11
02.00.072δ.9000;Πληρωμές για επενδύσεις;5.217.561,60;-2.017.284,71;3.200.276,89;1.059.959,11;2.140.317,78;1.057.959,11;2.142.317,78;1.059.959,11;2.140.317,78;1.057.959,11;2.142.317,78;2.000,00;0,00;-1.057.959,11;3.200.276,89;1.059.959,11
02.00.072δ.9700;Επενδύσεις εκτελούμενες απο τα έσοδα των ΝΠΔΔ;5.217.561,60;-4.310.561,60;907.000,00;0,00;907.000,00;0,00;907.000,00;0,00;907.000,00;0,00;907.000,00;0,00;0,00;0,00;907.000,00;0,00
02.00.072δ.9770;Εκτέλεση έργων;5.217.561,60;-4.889.561,60;328.000,00;0,00;328.000,00;0,00;328.000,00;0,00;328.000,00;0,00;328.000,00;0,00;0,00;0,00;328.000,00;0,00
02.00.072δ.9771;Εκτέλεση συγκοινωνιακών έργων;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.00.072δ.9772;Εκτέλεση λιμενικών έργων;0,00;78.000,00;78.000,00;0,00;78.000,00;0,00;78.000,00;0,00;78.000,00;0,00;78.000,00;0,00;0,00;0,00;78.000,00;0,00
02.00.072δ.9777;Εκτέλεση έργων αθλητισμού;0,00;150.000,00;150.000,00;0,00;150.000,00;0,00;150.000,00;0,00;150.000,00;0,00;150.000,00;0,00;0,00;0,00;150.000,00;0,00
02.00.072δ.9779;Εκτέλεση λοιπών έργων που δεν κατονομάζονται ειδικά;5.217.561,60;-5.117.561,60;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;0,00;0,00;100.000,00;0,00
02.00.072δ.9780;Συντήρηση έργων;0,00;579.000,00;579.000,00;0,00;579.000,00;0,00;579.000,00;0,00;579.000,00;0,00;579.000,00;0,00;0,00;0,00;579.000,00;0,00
02.00.072δ.9781;Συντήρηση συγκοινωνιακών έργων;0,00;499.000,00;499.000,00;0,00;499.000,00;0,00;499.000,00;0,00;499.000,00;0,00;499.000,00;0,00;0,00;0,00;499.000,00;0,00
02.00.072δ.9789;Συντήρηση λοιπών έργων που δεν κατονομάζονται ειδικά;0,00;80.000,00;80.000,00;0,00;80.000,00;0,00;80.000,00;0,00;80.000,00;0,00;80.000,00;0,00;0,00;0,00;80.000,00;0,00
02.00.072δ.9800;Επενδύσεις εκτελούμενες απο τα έσοδα των ΝΠΔΔ;0,00;2.293.276,89;2.293.276,89;1.059.959,11;1.233.317,78;1.057.959,11;1.235.317,78;1.059.959,11;1.233.317,78;1.057.959,11;1.235.317,78;2.000,00;0,00;-1.057.959,11;2.293.276,89;1.059.959,11
02.00.072δ.9890;Λοιποί σκοποί;0,00;2.293.276,89;2.293.276,89;1.059.959,11;1.233.317,78;1.057.959,11;1.235.317,78;1.059.959,11;1.233.317,78;1.057.959,11;1.235.317,78;2.000,00;0,00;-1.057.959,11;2.293.276,89;1.059.959,11
02.00.072δ.9899;Λοιπές δαπάνες;0,00;2.293.276,89;2.293.276,89;1.059.959,11;1.233.317,78;1.057.959,11;1.235.317,78;1.059.959,11;1.233.317,78;1.057.959,11;1.235.317,78;2.000,00;0,00;-1.057.959,11;2.293.276,89;1.059.959,11
02.00.072δ.9899.α;Δράσεις & ενέργειες για την ανάπτυξη του τουρισμού;0,00;155.000,00;155.000,00;33.086,50;121.913,50;33.086,50;121.913,50;33.086,50;121.913,50;33.086,50;121.913,50;0,00;0,00;-33.086,50;155.000,00;33.086,50
02.00.072δ.9899.β;Προετοιμασία, υλοποίηση & ολοκλήρωση ευρωπαϊκών προγραμμάτων;0,00;242.967,46;242.967,46;6.188,51;236.778,95;4.188,51;238.778,95;6.188,51;236.778,95;4.188,51;238.778,95;2.000,00;0,00;-4.188,51;242.967,46;6.188,51
