Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Παραστατικά Εσόδων;Υπόλοιπο Παρ. Εσόδων ως προς Δ.Π.;Βεβαιωθέντα;Διαγραφές Παραγραφές;Τελικά Βεβαιωθέντα;Υπόλοιπο Βεβαιωθέντων    ως προς Δ.Π.;Εισπραχθέντα;Υπόλοιπο Εισπραχθέντων    ως προς Δ.Π.;Υπόλοιπο (Βεβαιωθέντα - Εισπραχθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.
06;Πιστωτικοί Λογ/σμοί Δημ.Λογιστικού;86.657.874,89;3.137.665,15;89.795.540,04;46.716.648,74;43.078.891,30;47.898.646,48;0,00;47.898.646,48;41.896.893,56;47.917.498,38;41.878.041,66;-18.851,90;0,00;-46.716.648,74;89.795.540,04
06.00;ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;72.761.440,80;111.100,70;72.872.541,50;631.363,55;72.241.177,95;1.813.728,20;0,00;1.813.728,20;71.058.813,30;1.813.728,20;71.058.813,30;0,00;0,00;-631.363,55;72.872.541,50
06.00.071;ΠΡΟΓΡΑΜΜΑ ΔΗΜΟΣΙΩΝ ΕΠΕΝΔΥΣΕΩΝ μέσω Περιφερειακού Ταμείου Ανάπτυξης;72.661.440,80;0,00;72.661.440,80;-546,92;72.661.987,72;0,00;0,00;0,00;72.661.440,80;0,00;72.661.440,80;0,00;0,00;546,92;72.661.440,80
06.00.071.3000;Έσοδα από την επιχειρηματική δραστηριότητα του Ν.Π.Δ.Δ;0,00;0,00;0,00;-546,92;546,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;546,92;0,00
06.00.071.3500;Πρόσοδοι του Ν.Π.Δ.Δ από Κεφάλαια, Κινητές αξίες και λοιπές περιπτώσεις;0,00;0,00;0,00;-546,92;546,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;546,92;0,00
06.00.071.3510;Τόκοι κεφαλαίων;0,00;0,00;0,00;-546,92;546,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;546,92;0,00
06.00.071.3511;Τόκοι από καταθέσεις σε Τράπεζες.;0,00;0,00;0,00;-546,92;546,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;546,92;0,00
06.00.071.3511.ζ;Τόκοι από καταθέσεις σε Τράπεζες (003169-97).;0,00;0,00;0,00;-546,92;546,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;546,92;0,00
06.00.071.9000;Έσοδα απο επιχορηγήσεις κλπ για επενδύσεις;72.661.440,80;0,00;72.661.440,80;0,00;72.661.440,80;0,00;0,00;0,00;72.661.440,80;0,00;72.661.440,80;0,00;0,00;0,00;72.661.440,80
06.00.071.9400;Επιχορηγήσεις απο τον Π/Υ Δημοσίων Επενδύσεων;70.950.765,13;0,00;70.950.765,13;0,00;70.950.765,13;0,00;0,00;0,00;70.950.765,13;0,00;70.950.765,13;0,00;0,00;0,00;70.950.765,13
06.00.071.9450;Επιχορηγήσεις από το Περιφερειακό Πρόγραμμα Δ.Ε.;70.950.765,13;0,00;70.950.765,13;0,00;70.950.765,13;0,00;0,00;0,00;70.950.765,13;0,00;70.950.765,13;0,00;0,00;0,00;70.950.765,13
06.00.071.9451;Επιχορηγήσεις για Γεωργία - Δάση - Αλιεία;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00
06.00.071.9451.α;Επιχορηγήσεις ΣΑΕΠ;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00
06.00.071.9451.α.1;Επιχορηγήσεις ΣΑΕΠ;30.000,00;0,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00
06.00.071.9452;Επιχορηγήσεις για Εγγειοβελτιωτικά Έργα - Βιομηχανία - Ενέργεια - Βιοτεχνία;7.996.679,88;0,00;7.996.679,88;0,00;7.996.679,88;0,00;0,00;0,00;7.996.679,88;0,00;7.996.679,88;0,00;0,00;0,00;7.996.679,88
06.00.071.9452.α;Επιχορηγήσεις ΣΑΕΠ, ΣΑΜΠ;7.996.679,88;0,00;7.996.679,88;0,00;7.996.679,88;0,00;0,00;0,00;7.996.679,88;0,00;7.996.679,88;0,00;0,00;0,00;7.996.679,88
