Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Δεσμευθέντα;Υπόλοιπο Δεσμευθέντων ως προς Δ.Π.;Τιμολογηθέντα;Υπόλοιπο Τιμολογηθέντων ως προς Δ.Π.;Ενταλθέντα;Υπόλοιπο Ενταλθέντων    ως προς Δ.Π.;Πληρωθέντα;Υπόλοιπο Πληρωθέντων    ως προς Δ.Π.;Υπόλοιπο (Ενταλθέντα - Πληρωθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.;Υπόλοιπο Διαθέσεων ως προς Δεσμεύσεις
02;ΧΡΕΩΣΤΙΚΟΙ ΛΟΓΑΡΙΑΣΜΟΙ;17.249.466,36;8.031.227,51;25.280.693,87;-22.387.305,45;47.667.999,32;7.682.300,34;17.598.393,53;7.846.156,52;17.434.537,35;7.846.156,52;17.434.537,35;0,00;0,00;-7.682.300,34;25.280.693,87;-22.387.305,45
02.00;ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;2.273.111,02;-1.907.045,36;366.065,66;161.211,34;204.854,32;0,00;366.065,66;161.211,34;204.854,32;161.211,34;204.854,32;0,00;0,00;0,00;366.065,66;161.211,34
02.00.725;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΝΟΜΑΡΧΙΑΚΟ ΠΡΟΓΡΑΜΜΑ ΕΡΓΩΝ ΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΑΠΟ Κ.Α.Π.;2.273.111,02;-1.907.045,36;366.065,66;161.211,34;204.854,32;0,00;366.065,66;161.211,34;204.854,32;161.211,34;204.854,32;0,00;0,00;0,00;366.065,66;161.211,34
02.00.725.0000;Πληρωμές για Υπηρεσίες;4.325,70;-4.325,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.00.725.0700;Πληρωμές για μετακινήσεις;4.325,70;-4.325,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.00.725.0710;Πληρωμές για μετακινήσιες;4.325,70;-4.325,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.00.725.0711;Έξοδα μετακίνησης στο εσωτερικό μόνιμου προσωπικού;4.325,70;-4.325,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.00.725.9000;Πληρωμές για επενδύσεις;2.268.785,32;-1.902.719,66;366.065,66;161.211,34;204.854,32;0,00;366.065,66;161.211,34;204.854,32;161.211,34;204.854,32;0,00;0,00;0,00;366.065,66;161.211,34
02.00.725.9700;Επενδύσεις εκτελούμενες απο τα έσοδα των ΝΠΔΔ;1.063.000,00;-1.063.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.00.725.9780;Συντήρηση έργων;1.063.000,00;-1.063.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
