"a";"b";"c";"d";"logar";"vathmos";"etos";"protin";"eggek";"anam";"diam";"desme";"ental";"propli";"pliro"
"02";"00";"725";"";"02.00.725";3;2015;210000;0;0;0;0;0;0;0
"02";"00";"725";"";"02.00.725";3;2013;2273111;2273111;-1907045;366066;227814;161211;0;161211
"02";"00";"725";"";"02.00.725";3;2014;100000;100000;111101;211101;0;0;0;0
"02";"00";"725";"";"02.00.725";3;2012;6517562;6517562;-1983815;4533747;1567451;1457870;0;1457870
"02";"00";"725";"0000";"02.00.725.0000";4;2015;0;0;0;0;0;0;0;0
"02";"00";"725";"0000";"02.00.725.0000";4;2013;4326;4326;-4326;0;0;0;0;0
"02";"00";"725";"0000";"02.00.725.0000";4;2014;0;0;0;0;0;0;0;0
"02";"00";"725";"0000";"02.00.725.0000";4;2012;0;0;40000;40000;33174;33174;0;33174
"02";"00";"725";"0700";"02.00.725.0700";4;2015;0;0;0;0;0;0;0;0
"02";"00";"725";"0700";"02.00.725.0700";4;2013;4326;4326;-4326;0;0;0;0;0
"02";"00";"725";"0700";"02.00.725.0700";4;2014;0;0;0;0;0;0;0;0
"02";"00";"725";"0700";"02.00.725.0700";4;2012;0;0;40000;40000;33174;33174;0;33174
"02";"00";"725";"0710";"02.00.725.0710";4;2015;0;0;0;0;0;0;0;0
"02";"00";"725";"0710";"02.00.725.0710";4;2013;4326;4326;-4326;0;0;0;0;0
"02";"00";"725";"0710";"02.00.725.0710";4;2014;0;0;0;0;0;0;0;0
"02";"00";"725";"0710";"02.00.725.0710";4;2012;0;0;40000;40000;33174;33174;0;33174
"02";"00";"725";"0711";"02.00.725.0711";4;2015;0;0;0;0;0;0;0;0
"02";"00";"725";"0711";"02.00.725.0711";4;2013;4326;4326;-4326;0;0;0;0;0
"02";"00";"725";"0711";"02.00.725.0711";4;2014;0;0;0;0;0;0;0;0
"02";"00";"725";"0711";"02.00.725.0711";4;2012;0;0;40000;40000;33174;33174;0;33174
"02";"00";"725";"5000";"02.00.725.5000";4;2015;0;0;0;0;0;0;0;0
"02";"00";"725";"5000";"02.00.725.5000";4;2013;0;0;0;0;0;0;0;0
"02";"00";"725";"5000";"02.00.725.5000";4;2014;0;0;0;0;0;0;0;0
"02";"00";"725";"5000";"02.00.725.5000";4;2012;0;0;0;0;0;0;0;0
"02";"00";"725";"5100";"02.00.725.5100";4;2015;0;0;0;0;0;0;0;0
"02";"00";"725";"5100";"02.00.725.5100";4;2013;0;0;0;0;0;0;0;0
"02";"00";"725";"5100";"02.00.725.5100";4;2014;0;0;0;0;0;0;0;0
"02";"00";"725";"5100";"02.00.725.5100";4;2012;0;0;0;0;0;0;0;0
"02";"00";"725";"5110";"02.00.725.5110";4;2015;0;0;0;0;0;0;0;0
"02";"00";"725";"5110";"02.00.725.5110";4;2013;0;0;0;0;0;0;0;0
"02";"00";"725";"5110";"02.00.725.5110";4;2014;0;0;0;0;0;0;0;0
"02";"00";"725";"5110";"02.00.725.5110";4;2012;0;0;0;0;0;0;0;0
"02";"00";"725";"5111";"02.00.725.5111";4;2015;0;0;0;0;0;0;0;0
"02";"00";"725";"5111";"02.00.725.5111";4;2013;0;0;0;0;0;0;0;0
"02";"00";"725";"5111";"02.00.725.5111";4;2014;0;0;0;0;0;0;0;0
"02";"00";"725";"5111";"02.00.725.5111";4;2012;0;0;0;0;0;0;0;0
"02";"00";"725";"9000";"02.00.725.9000";4;2015;210000;0;0;0;0;0;0;0
"02";"00";"725";"9000";"02.00.725.9000";4;2013;2268785;2268785;-1902720;366066;227814;161211;0;161211
"02";"00";"725";"9000";"02.00.725.9000";4;2014;100000;100000;111101;211101;0;0;0;0
"02";"00";"725";"9000";"02.00.725.9000";4;2012;6517562;6517562;-2023815;4493747;1534277;1424695;0;1424695
"02";"00";"725";"9700";"02.00.725.9700";4;2015;0;0;0;0;0;0;0;0
"02";"00";"725";"9700";"02.00.725.9700";4;2013;1063000;1063000;-1063000;0;0;0;0;0
"02";"00";"725";"9700";"02.00.725.9700";4;2014;0;0;0;0;0;0;0;0
"02";"00";"725";"9700";"02.00.725.9700";4;2012;4417562;4417562;-2412562;2005000;0;0;0;0
"02";"00";"725";"9710";"02.00.725.9710";4;2015;0;0;0;0;0;0;0;0
"02";"00";"725";"9710";"02.00.725.9710";4;2013;0;0;0;0;0;0;0;0
"02";"00";"725";"9710";"02.00.725.9710";4;2014;0;0;0;0;0;0;0;0
"02";"00";"725";"9710";"02.00.725.9710";4;2012;0;0;0;0;0;0;0;0
